#node	identifier	node_degree
AAEL000053	7159.Q0C7A8	0
AAEL000065	7159.Q0C745	0
AAEL000093	7159.Q0C7B1	3
AAEL000242	7159.Q17PT9	1
AAEL000247	7159.Q17PU2	1
AAEL000276	7159.Q17PN7	0
AAEL000324	7159.Q17PG3	1
AAEL000364	7159.Q17PI9	2
AAEL000397	7159.Q0IGF7	1
AAEL000431	7159.Q17PA7	0
AAEL000489	7159.Q17P09	7
AAEL000542	7159.Q17NY9	0
AAEL000597	7159.Q17NP6	0
AAEL000649	7159.Q17NM9	0
AAEL000682	7159.Q17NG1	0
AAEL000703	7159.Q17NG8	3
AAEL000723	7159.Q17NC4	0
AAEL000729	7159.Q17NC1	0
AAEL000741	7159.Q17NE5	0
AAEL000805	7159.Q17N40	0
AAEL000818	7159.Q17N19	0
AAEL000860	7159.Q17N01	0
AAEL000868	7159.Q17MX1	2
AAEL000891	7159.Q17MX7	2
AAEL000908	7159.Q17MX6	2
AAEL000951	7159.Q17MM5	2
AAEL001005	7159.Q17MI1	1
AAEL001031	7159.Q17MG5	0
AAEL001104	7159.Q17M42	3
AAEL001116	7159.Q17M41	0
AAEL001237	7159.Q17LV1	0
AAEL001273	7159.Q17LP8	3
AAEL001340	7159.Q17LI9	1
AAEL001437	7159.Q17LA6	0
AAEL001454	7159.Q17L67	4
AAEL001468	7159.Q17L66	4
AAEL001482	7159.Q17L13	1
AAEL001567	7159.Q17KU1	1
AAEL001643	7159.Q17KJ5	2
AAEL001680	7159.Q17KI5	0
AAEL001702	7159.Q17KG8	3
AAEL001749	7159.Q17K93	1
AAEL001755	7159.Q17K92	1
AAEL001760	7159.Q17K95	2
AAEL001776	7159.Q17K68	0
AAEL001780	7159.Q17K67	0
AAEL001798	7159.Q17K23	0
AAEL001818	7159.Q17K38	0
AAEL001819	7159.Q17K58	0
AAEL001832	7159.Q17K20	0
AAEL001861	7159.Q17JY3	1
AAEL001951	7159.Q6QNY2	5
AAEL001959	7159.Q17JF6	0
AAEL002162	7159.Q17J25	2
AAEL002164	7159.Q17J24	2
AAEL002168	7159.Q17J26	2
AAEL002169	7159.Q17J27	2
AAEL002171	7159.Q17J33	0
AAEL002188	7159.Q17J05	10
AAEL002219	7159.Q17IU2	0
AAEL002220	7159.Q17J06	10
AAEL002287	7159.Q17IL0	1
AAEL002308	7159.Q17IM8	1
AAEL002321	7159.Q17IK5	3
AAEL002390	7159.Q17IC7	0
AAEL002411	7159.Q17IA0	0
AAEL002451	7159.Q17I67	0
AAEL002487	7159.Q1HRW3	0
AAEL002594	7159.Q17HS6	8
AAEL002628	7159.Q17HP2	0
AAEL002690	7159.Q17HG6	0
AAEL002754	7159.Q17HA9	2
AAEL002761	7159.Q17H75	4
AAEL002813	7159.Q17H51	3
AAEL002851	7159.Q17GX9	2
AAEL002876	7159.Q17GV3	0
AAEL002891	7159.Q17GS2	0
AAEL002913	7159.Q17GS0	1
AAEL002936	7159.Q17GP4	1
AAEL002938	7159.Q17GP3	0
AAEL002967	7159.Q17GK3	0
AAEL003001	7159.Q17GJ0	5
AAEL003013	7159.Q17GI1	1
AAEL003014	7159.Q17GH6	0
AAEL003109	7159.Q17GF2	0
AAEL003167	7159.Q17G70	1
AAEL003169	7159.Q17G69	2
AAEL003191	7159.Q17G52	1
AAEL003194	7159.Q17G59	0
AAEL003199	7159.Q17G54	1
AAEL003252	7159.Q17FY6	0
AAEL003267	7159.Q17FX3	1
AAEL003290	7159.Q17FU9	2
AAEL003292	7159.Q17FU6	1
AAEL003304	7159.Q17FU7	1
AAEL003355	7159.Q17FR0	0
AAEL003407	7159.Q17FE8	4
AAEL003414	7159.Q17FE9	3
AAEL003472	7159.Q17FC6	0
AAEL003506	7159.Q17F71	0
AAEL003527	7159.Q0IG29	0
AAEL003564	7159.Q17F44	0
AAEL003592	7159.Q17F08	1
AAEL003609	7159.Q17F07	2
AAEL003619	7159.Q17EZ8	0
AAEL003688	7159.Q17ET2	0
AAEL003731	7159.Q17EP7	0
AAEL003733	7159.Q17EP1	1
AAEL003834	7159.Q17EB2	0
AAEL003861	7159.Q17EB3	0
AAEL003875	7159.Q17E80	0
AAEL003953	7159.Q17E44	1
AAEL003979	7159.Q17E15	3
AAEL004035	7159.Q17DX6	0
AAEL004088	7159.Q17DM5	0
AAEL004133	7159.Q17DL2	1
AAEL004255	7159.Q17DB6	0
AAEL004292	7159.Q17D93	0
AAEL004351	7159.Q17D24	0
AAEL004457	7159.Q1HRI9	6
AAEL004463	7159.Q17CP5	1
AAEL004464	7159.Q17CP3	2
AAEL004478	7159.Q17CP4	1
AAEL004525	7159.Q17CM5	2
AAEL004549	7159.Q17CG1	2
AAEL004632	7159.Q17C94	0
AAEL004651	7159.Q17C93	2
AAEL004715	7159.Q17C29	3
AAEL004717	7159.Q17C39	1
AAEL004737	7159.Q17BY7	0
AAEL004900	7159.Q17BN5	1
AAEL004934	7159.Q17BK4	1
AAEL004974	7159.Q17BE2	0
AAEL005076	7159.Q17B63	0
AAEL005089	7159.Q17B44	1
AAEL005099	7159.Q17B43	1
AAEL005100	7159.Q17B23	0
AAEL005147	7159.Q17AZ6	0
AAEL005160	7159.Q17AX2	0
AAEL005281	7159.Q17AJ3	0
AAEL005302	7159.Q17AG5	1
AAEL005315	7159.Q17AC7	0
AAEL005448	7159.Q179Z3	0
AAEL005452	7159.Q17A00	0
AAEL005463	7159.Q179X5	1
AAEL005581	7159.Q179N7	1
AAEL005640	7159.Q0IFE7	0
AAEL005655	7159.Q179E9	1
AAEL005679	7159.Q179A9	1
AAEL005741	7159.Q178X8	2
AAEL005766	7159.Q178U8	4
AAEL005832	7159.Q178N5	0
AAEL005895	7159.Q0IFC5	3
AAEL005937	7159.Q178E9	0
AAEL006038	7159.Q177S2	1
AAEL006057	7159.Q177R3	0
AAEL006149	7159.Q177H3	1
AAEL006152	7159.Q177H4	1
AAEL006189	7159.Q177A9	3
AAEL006219	7159.Q176Y4	0
AAEL006234	7159.Q176W7	0
AAEL006263	7159.Q176T7	0
AAEL006266	7159.Q176T6	0
AAEL006369	7159.Q16TD8	0
AAEL006399	7159.Q0IFA2	2
AAEL006447	7159.Q176B9	0
AAEL006554	7159.Q175T9	0
AAEL006565	7159.Q175T8	0
AAEL006600	7159.Q175M5	0
AAEL006619	7159.Q175K5	0
AAEL006710	7159.Q175B9	4
AAEL006783	7159.Q174S1	0
AAEL006803	7159.Q174R9	1
AAEL006813	7159.Q174R8	1
AAEL006876	7159.Q174K3	1
AAEL006884	7159.Q174H3	0
AAEL006912	7159.Q174F7	2
AAEL006939	7159.Q174C4	0
AAEL007019	7159.Q173U8	0
AAEL007177	7159.Q173D8	0
AAEL007197	7159.Q173C1	0
AAEL007217	7159.Q173B0	0
AAEL007331	7159.Q172L3	0
AAEL007353	7159.Q172K9	1
AAEL007359	7159.Q172J7	1
AAEL007374	7159.Q172J0	0
AAEL007388	7159.Q172G9	1
AAEL007415	7159.Q0IF14	0
AAEL007441	7159.Q1HRN7	1
AAEL007452	7159.Q172D9	0
AAEL007465	7159.Q172A6	0
AAEL007483	7159.Q171Z5	0
AAEL007508	7159.Q171W2	0
AAEL007569	7159.Q171N7	0
AAEL007791	7159.Q170V1	0
AAEL007876	7159.Q170K8	21
AAEL007888	7159.Q170K4	0
AAEL007890	7159.Q170K9	21
AAEL007959	7159.Q170D7	0
AAEL007970	7159.Q170B3	0
AAEL007980	7159.Q170B1	0
AAEL007995	7159.Q0IEV0	0
AAEL008031	7159.Q16ZY1	0
AAEL008149	7159.Q16ZN0	0
AAEL008248	7159.Q16ZB6	0
AAEL008354	7159.Q0IEP7	0
AAEL008362	7159.Q16YZ8	1
AAEL008371	7159.Q16Z01	5
AAEL008372	7159.Q16YZ9	1
AAEL008414	7159.Q16YV1	2
AAEL008465	7159.Q16YQ3	0
AAEL008470	7159.Q16YP6	0
AAEL008494	7159.Q16YM1	0
AAEL008507	7159.Q16YK1	2
AAEL008517	7159.Q16YK5	6
AAEL008528	7159.Q16YG8	4
AAEL008552	7159.Q16YG5	3
AAEL008554	7159.Q16YG3	3
AAEL008622	7159.Q16Y82	4
AAEL008722	7159.Q16XY9	0
AAEL008773	7159.Q16XT3	0
AAEL008774	7159.Q16XT5	0
AAEL008816	7159.Q16XQ1	2
AAEL008944	7159.Q16X87	0
AAEL008948	7159.Q16XA3	0
AAEL009085	7159.Q16WV5	8
AAEL009092	7159.Q16WU6	0
AAEL009175	7159.Q16WM1	0
AAEL009240	7159.Q16WF1	0
AAEL009304	7159.Q16WA7	1
AAEL009377	7159.Q16W03	3
AAEL009400	7159.Q16VZ3	5
AAEL009448	7159.Q16IF7	2
AAEL009451	7159.Q16VS2	7
AAEL009467	7159.Q16VR4	0
AAEL009484	7159.Q16VP6	0
AAEL009515	7159.Q16VM1	0
AAEL009587	7159.Q16VF3	0
AAEL009626	7159.Q16VA2	0
AAEL009630	7159.Q16VA1	2
AAEL009778	7159.Q16UW3	0
AAEL009786	7159.Q16UU9	0
AAEL009838	7159.Q16UP5	1
AAEL009869	7159.Q16UK9	1
AAEL009871	7159.Q16UK1	0
AAEL009915	7159.Q16UG5	3
AAEL009938	7159.Q16UD8	1
AAEL009947	7159.Q16UC4	1
AAEL009966	7159.Q16UA9	0
AAEL009987	7159.Q16U90	0
AAEL009988	7159.Q16U87	1
AAEL010022	7159.Q16U41	0
AAEL010041	7159.Q16U30	0
AAEL010061	7159.Q16U10	3
AAEL010093	7159.Q16TX6	0
AAEL010106	7159.Q16TV9	0
AAEL010126	7159.Q16TT9	1
AAEL010144	7159.Q16TR7	0
AAEL010198	7159.Q16TM2	1
AAEL010308	7159.Q0IEI4	0
AAEL010373	7159.Q16T51	2
AAEL010391	7159.Q16T61	0
AAEL010555	7159.Q16SL7	2
AAEL010584	7159.Q16SI7	2
AAEL010642	7159.Q16SB6	0
AAEL010643	7159.Q16SB0	6
AAEL010652	7159.Q16S94	0
AAEL010659	7159.Q16JG7	0
AAEL010668	7159.Q16S95	0
AAEL010716	7159.Q16S36	9
AAEL010783	7159.Q16RY8	0
AAEL010821	7159.Q1HR99	14
AAEL010835	7159.Q16RU6	0
AAEL010883	7159.Q16RP7	0
AAEL010892	7159.Q16RN4	0
AAEL010908	7159.Q16RM1	0
AAEL010941	7159.Q16RK1	0
AAEL011006	7159.Q16RC6	1
AAEL011037	7159.Q16R88	0
AAEL011058	7159.Q16R65	0
AAEL011105	7159.Q16R23	2
AAEL011185	7159.Q16QS7	0
AAEL011261	7159.Q16QJ6	0
AAEL011281	7159.Q16QH9	0
AAEL011485	7159.Q16PX0	1
AAEL011495	7159.Q16PW9	1
AAEL011536	7159.Q16PT5	1
AAEL011565	7159.Q16PP6	0
AAEL011648	7159.Q16PG7	1
AAEL011709	7159.Q16PA7	1
AAEL011767	7159.Q16P43	0
AAEL011773	7159.Q16P38	1
AAEL011800	7159.Q16P14	0
AAEL011870	7159.Q16NS4	3
AAEL011890	7159.Q16NR7	4
AAEL011910	7159.Q16NP6	0
AAEL012002	7159.Q16ND4	0
AAEL012019	7159.Q16NC7	0
AAEL012031	7159.Q16NB0	0
AAEL012046	7159.Q16N99	0
AAEL012057	7159.Q16N85	3
AAEL012065	7159.Q16N83	0
AAEL012155	7159.Q16MX5	0
AAEL012169	7159.Q1HQG4	0
AAEL012237	7159.Q1HQT7	1
AAEL012256	7159.Q16ML9	1
AAEL012257	7159.Q16MM0	1
AAEL012259	7159.Q16MM1	5
AAEL012272	7159.Q16MK6	0
AAEL012273	7159.Q16MK4	0
AAEL012288	7159.Q16MJ6	1
AAEL012307	7159.Q16MG8	0
AAEL012392	7159.Q16M84	0
AAEL012416	7159.Q16M54	2
AAEL012420	7159.Q16M53	3
AAEL012429	7159.Q16M45	0
AAEL012493	7159.Q16LX7	0
AAEL012517	7159.Q16LU2	0
AAEL012541	7159.Q16LS6	1
AAEL012561	7159.Q16LQ3	0
AAEL012626	7159.Q16LK2	0
AAEL012627	7159.Q16LK0	0
AAEL012640	7159.Q16LI4	0
AAEL012655	7159.Q16LG8	0
AAEL012707	7159.Q16LB3	1
AAEL012723	7159.Q16L96	6
AAEL012837	7159.Q16KY3	0
AAEL012850	7159.Q16KW9	0
AAEL012905	7159.Q16KQ8	2
AAEL012908	7159.Q16KR0	2
AAEL012909	7159.Q16KR1	2
AAEL012910	7159.Q16KQ9	2
AAEL012974	7159.Q0IE94	2
AAEL012977	7159.Q0IE99	0
AAEL012979	7159.Q0IE98	0
AAEL012988	7159.Q16KH2	0
AAEL013066	7159.Q16KA6	2
AAEL013216	7159.Q16JU1	0
AAEL013252	7159.Q16JQ4	0
AAEL013268	7159.Q16JN7	0
AAEL013380	7159.Q16JC3	0
AAEL013510	7159.Q16IY0	1
AAEL013529	7159.Q16IW8	1
AAEL013532	7159.Q16IV3	0
AAEL013602	7159.Q16IN4	3
AAEL013651	7159.Q16II4	1
AAEL013654	7159.Q16II5	1
AAEL013684	7159.Q16IG3	0
AAEL013758	7159.Q16I88	0
AAEL013770	7159.Q16I75	0
AAEL013830	7159.Q16I15	0
AAEL013846	7159.Q16HZ9	0
AAEL013965	7159.Q16HN5	0
AAEL013986	7159.Q16HL0	0
AAEL013997	7159.Q16HK0	8
AAEL014033	7159.Q16HG5	3
AAEL014109	7159.Q16H88	0
AAEL014132	7159.Q16H74	0
AAEL014157	7159.Q16H46	0
AAEL014207	7159.Q16GZ8	1
AAEL014258	7159.Q16GV0	0
AAEL014337	7159.Q16GL8	0
AAEL014347	7159.Q16GK5	0
AAEL014485	7159.Q16G89	1
AAEL014521	7159.Q16G51	1
AAEL014557	7159.Q16G14	0
AAEL014620	7159.Q16FV7	2
AAEL014730	7159.Q16FK4	1
AAEL014901	7159.Q16F46	2
AAEL014927	7159.Q16F21	0
AAEL014933	7159.Q16F16	0
AAEL015071	7159.Q16EP6	0
AAEL015101	7159.Q16EM3	0
AAEL015231	7159.Q16EF2	1
AAEL015235	7159.Q16EE7	0
AAEL015593	7159.Q1DGK7	0
AAEL015650	7159.Q1DGF8	0
AAEL801114	7159.J9HTV7	0
ARK	7159.Q17MT6	2
CTL12	7159.Q16Y37	0
DNR1	7159.Q17NT7	1
GPRALS3	7159.Q16KP5	0
GPRDIH1	7159.Q16Z71	1
GPRFZ2	7159.Q174W8	1
GPRGHP3	7159.Q16L21	0
GPROR52	7159.Q16IY4	0
GPROR60	7159.J9HG16	0
GPROR76	7159.Q16J72	2
GPRgr11	7159.Q16QU1	0
HR4	7159.Q178K1	0
J9E9F1_AEDAE	7159.J9E9F1	12
J9EAF0_AEDAE	7159.J9EAF0	0
J9EAN8_AEDAE	7159.J9EAN8	0
J9EBD1_AEDAE	7159.J9EBD1	1
J9HFE1_AEDAE	7159.J9HFE1	6
J9HIM6_AEDAE	7159.J9HIM6	0
J9HYQ9_AEDAE	7159.J9HYQ9	4
PIWI7	7159.Q176R2	0
Q1HR69_AEDAE	7159.Q1HR69	10
SRPN25	7159.Q1HRV7	0
TOLL1A	7159.Q171J8	0
TOLL5A	7159.Q171K9	0
TOLL8	7159.Q17NJ1	0
